id,title,artist,album,thumbnail,duration,related_videos,views,is_private,is_unlisted,category,publish_date,upload_date,length_seconds,is_family_safe,available_countries
KGn-erOG-Bs,Laal Pari,Yo Yo Honey Singh,,https://i.ytimg.com/vi/KGn-erOG-Bs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lXYrYuAgWF9PhWBvvvQyv-0P-NMA,3:05,[],454558895,False,,Music,2025-05-02T23:30:07-07:00,2025-05-02T23:30:07-07:00,185,,249
0v5eHPfy5Lk,Barbaad,Jubin Nautiyal,,https://i.ytimg.com/vi/0v5eHPfy5Lk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nVb5CldBktd4jqoRQ8cE04ZJin7w,3:45,[],153784669,False,,Music,2025-06-09T22:33:49-07:00,2025-06-09T22:33:49-07:00,225,,249
d6KJkavA8zk,Jaane Tu,A. R. Rahman,,https://i.ytimg.com/vi/d6KJkavA8zk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ntDJkoZH5LqhkTKgnitJntQxegEg,3:21,[],75125197,False,,Music,2025-01-31T00:24:45-08:00,2025-01-31T00:24:45-08:00,200,,249
ZhhBlQC_5N8,"Sahiba Lyrics - Aditya Rikhari • saahiba, aaye ghar kaahe na",Vibe Bird,,https://i.ytimg.com/vi/ZhhBlQC_5N8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lpQekQTRemERj_KVhbluJ49NF9TA,3:10,[],79657720,False,,Music,2025-07-05T05:55:43-07:00,2025-07-05T05:55:43-07:00,190,,249
GvXDq-P1NB8,Akhiyaan Gulaab,Mitraz,,https://i.ytimg.com/vi/GvXDq-P1NB8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lhAlvZFxh-uxa7mwm7Jw5qb9r3eg,2:36,[],306723923,False,,Music,2024-01-23T22:02:12-08:00,2024-01-23T22:02:12-08:00,155,,249
NW6Dgax2d6I,Sahiba,Jasleen Royal,,https://i.ytimg.com/vi/NW6Dgax2d6I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mjW-1AMNBJuss_LS4bS4OIFMo4uw,4:20,[],198835374,False,,Music,2024-11-14T22:30:58-08:00,2024-11-14T22:30:58-08:00,260,,247
roz9sXFkTuE,Aaj Ki Raat,Madhubanti Bagchi,,https://i.ytimg.com/vi/roz9sXFkTuE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kb_wGMIIRuJMRW8O28NuDlyYCJ_Q,3:03,[],983690616,False,,Music,2024-07-24T04:33:17-07:00,2024-07-24T04:33:17-07:00,182,,249
U3vONIizYG8,Besos (feat. Karl Wine),Shreya Ghoshal,,https://i.ytimg.com/vi/U3vONIizYG8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lwMNdQSjRi1HoYEj9w7gyDz6tU7Q,3:13,[],172157531,False,,Music,2025-05-07T22:48:51-07:00,2025-05-07T22:48:51-07:00,193,,249
zVXDtS416Ns,Rahein Na Rahein Hum,Soumyadeep Sarkar,,https://i.ytimg.com/vi/zVXDtS416Ns/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n9Gink4IF59K3Mh4WDY4beq0rnGQ,3:04,[],22591239,False,,Music,2025-10-10T01:23:29-07:00,2025-10-10T01:23:29-07:00,184,,247
ZZ86YrRjIOs,Teri Ramjhol Bole Gi (feat. Aarohi Raghav & Kay D),Sheenam Katholic,,https://i.ytimg.com/vi/ZZ86YrRjIOs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3l-XVBw8oEF8LAZh9SYFGdCajqPaw,2:29,[],408591281,False,,Music,2024-12-11T21:30:08-08:00,2024-12-11T21:30:08-08:00,148,,249
KNXYonYD59w,"ANIMAL: HUA MAIN (Lyrical Video) | Ranbir Kapoor,Rashmika M | Sandeep V | Raghav,Manoj M | Bhushan K",Raghav Chaitanya,,https://i.ytimg.com/vi/KNXYonYD59w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kMUHKmDTQajOS_o42XPNdgX7cW9A,4:58,[],40821328,False,,Music,2023-11-20T21:30:07-08:00,2023-11-20T21:30:07-08:00,297,,249
usVq_4K_m_w,Panwadi,Khesari Lal Yadav,,https://i.ytimg.com/vi/usVq_4K_m_w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mHCqXIW9HSwi2mIRNQPvfp2vr3Cg,3:42,[],43012818,False,,Music,2025-09-10T02:15:19-07:00,2025-09-10T02:15:19-07:00,222,,249
